Reference Number ,subtitle,photo_url,question,answer,optionA,optionB,optionC
1255,,,"You are a remote pilot in command for a co-op energy service proveder. You plan to use your unmanned aircraft to inspect powerlines in the remote area 15 hours away from your home office. After you drive, fatigue impacts your abilites to complete your assignment on time. What kind of fatigue is this?",B,Chronic fatigue. ,Acute fatigue. ,Exhaustion. 
1302,,,What can affect your performance?,C,Prescription medications. ,Over-the counter medications. ,Over-the-counter and prescribed medications. 
1258,,,Fatigue can be recognized,B,easily by an experienced pilot. ,as being in an impaired state. ,by an ability to overcome sleep deprivation. 
1257,,,Fatigue can be either,C,physiological or psychological. ,physical or mental. ,acute or chronic.
1258,,,Fatigue is one of the most treacherous hazards to flight safely ,B,because it results in slow performace.,as it may not be apparent until serious errors are made. ,as it may be a function of physical robustness or mental acuity. 
1259,,,"When a stressful situation is encoutered in flight, an abnormal increase in the volume of air breathed in and out can cause a condition known as ",A,hyperventalation. ,aerosinusitis. ,aerotitis. 
1260,,,Which would most likely result in hyperventilation?,A,"Emotional tension, anxiety, or fear. ",The excessive consumption of alcohol. ,An extremely slow rate of breathing and insufficient oxygen. 
1261,,,Which will almost always affect you ability to fly?,C,Over-the counter analgesics and antihistamines.,Antibiotics and anesthetic drugs. ,Prescription analgesics and antihistamines.
1262,,,"As a pilot, flying for long periods in hot summer temperatures increases the susceptibility of dehyration since the ",A,dry air at altitude tends to increase the rate of water loss from the body. ,moist air at altitude helps retain the body's moisture. ,temperature decreases with altitude. 
1273,,,Which would most likely result in hyperventilation?,C,Insufficient oxygen.,Excessive carbon monoxide. ,Insufficient carbon dioxide.
1263,,,"When setting up the loaction of the control station and placement of crewmembers for an afternoon flight, which of the following would be most appropriate for ensuring that vision is not impaired by the enviornment?",A,The operation should be set up so that the remote PIC and crewmembers can face east.,The operation should be set up so that the remote PIC and crewmembers are facing west ,The operation should be set up so that the remote PIC and crewmembers are facing any reflective objects in the area. 
1297,,,What can help a pilot mitigate stress?,B,Increasing stress tolerance.,Removing stress from personal life. ,Breathing into a paper bag. 
1264,,,"When setting up the loaction of the control station and placement of crewmembers for an flight over snowy terrain, which  of the following would be most appropriate for ensuring that vision is not impaired by the environment?",B,The operation should be set up so that the crewmembers are the most comfortable. ,The operation should be set up so that the crewmembers will experience the minimum glare from the snow. ,The operation should be set up so that the crewmembers face the direction in which the terrain most closely matches the color of the unmanned aircraft. 
1265,,,Which of the following sources of information should consult first when determining what maintenance  should be performed on an sUAS or its components?,C,Local pilot best prictices. ,14 CFR Part 107.,Manufacturer guidance. 
1266,,,Under what condition should the operator of a small unmanned aircraft elstablish a scheduled maintanance protocol? ,A,When the manufacturer does not provide a maintenance schedule. ,When the FAA requires you to. following an accident.,Small unmanned aircraft system do not require maintenance. 
1336,,,What action should the operator of an sUAS take if the manufacturer does not provide information about scheduled maintenance?,B,The operator should contact the FAA for a minimum equipment list. ,The operator should establish a scheduled maintenance protocol. ,The operator should contact the NTSB for component failure rates for their specific sUAS. 
1267,,,Scheduled maintenance should be performed in accordance with the ,A,Manufacturer's suggested procedures. ,Stipulations in 14 CFR Part 43. ,Contractor requirements. 
1268,,,The responsibility for ensuring that an sUAS is maintained in an airworthy condition is primarily that of the ,A,Remote pilot-in-command.,owner of operator. ,mechanic who performs the work. 
1269,,,When should the battery for an unmanned aircraft be replaced?,B,Once recharged more than 10 times in the preceding 30 days. ,"Per the guidelines of the sUAS manufacturer of the battery manufacturer, whichever is more restrictive ","Per the guidlines of the sUAS manufacturer or the battery manufacturer, whichever is least restrictive. "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, zoo,,
